Attrition,Employee Number,emp no,Gender,Job Role,Over Time,Job Satisfaction,Years At Company,Education,Environment Satisfaction,Hourly Rate,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,766,STAFF-766,Male,Sales Representative,No,2,2,Bachelor's Degree,4,83,1,2,2297,17967,1,14,3,4,80,2,2,3,2,2,2,2
No,769,STAFF-769,Male,Laboratory Technician,No,4,2,Bachelor's Degree,4,86,2,4,2450,10919,2,17,3,4,80,0,19,3,2,2,2,2
No,771,STAFF-771,Female,Healthcare Representative,No,1,1,Master's Degree,4,61,2,1,5093,4761,2,11,3,1,80,1,16,4,1,0,0,0
No,772,STAFF-772,Male,Laboratory Technician,No,4,10,Master's Degree,1,80,2,4,5309,21146,1,15,3,4,80,2,10,3,10,8,4,7
No,773,STAFF-773,Male,Research Scientist,Yes,3,1,Doctoral Degree,4,92,1,3,3057,20471,6,13,3,2,80,1,6,1,1,0,0,1
No,775,STAFF-775,Female,Manufacturing Director,No,1,0,Doctoral Degree,2,32,2,1,5121,4187,3,14,3,3,80,1,7,3,0,0,0,0
No,776,STAFF-776,Male,Manager,No,1,34,Master's Degree,3,31,4,1,16856,10084,1,11,3,1,80,0,34,4,34,6,1,16
Yes,780,STAFF-780,Male,Research Scientist,Yes,4,10,Master's Degree,4,63,1,4,2686,5207,1,13,3,3,80,0,10,2,10,9,7,8
No,781,STAFF-781,Female,Sales Executive,No,4,6,High School,3,32,2,4,6180,22807,1,23,4,2,80,0,6,2,6,5,1,4
No,783,STAFF-783,Male,Sales Representative,No,3,8,Associates Degree,2,46,2,3,6632,12388,0,13,3,1,80,0,9,3,8,7,3,1
No,784,STAFF-784,Male,Research Scientist,No,3,2,High School,1,79,1,3,3505,19630,1,18,3,4,80,0,2,3,2,2,0,2
Yes,785,STAFF-785,Female,Sales Executive,Yes,3,5,Associates Degree,2,77,2,3,6397,10339,4,12,3,4,80,0,8,3,5,4,1,3
No,786,STAFF-786,Male,Sales Executive,No,4,6,Bachelor's Degree,4,60,2,4,6274,18686,1,22,4,3,80,0,6,3,6,5,1,4
Yes,787,STAFF-787,Male,Manager,Yes,1,5,Bachelor's Degree,4,78,5,1,19859,21199,5,13,3,4,80,1,24,3,5,2,1,4
No,789,STAFF-789,Male,Sales Executive,No,1,10,Master's Degree,1,76,3,1,7587,14229,1,15,3,2,80,0,10,3,10,7,0,9
No,791,STAFF-791,Male,Research Scientist,No,4,4,Master's Degree,4,41,1,4,4258,26589,0,18,3,1,80,1,5,3,4,3,1,2
No,792,STAFF-792,Female,Laboratory Technician,No,4,2,Associates Degree,1,71,1,4,4364,5288,3,14,3,1,80,1,5,3,2,2,2,0
No,793,STAFF-793,Female,Healthcare Representative,No,3,8,Bachelor's Degree,2,66,2,3,4335,25549,4,12,3,1,80,1,11,2,8,7,1,1
Yes,796,STAFF-796,Male,Sales Executive,No,1,4,Bachelor's Degree,4,38,2,1,5326,3064,6,17,3,3,80,0,6,2,4,3,1,2
No,797,STAFF-797,Female,Research Scientist,No,4,4,Master's Degree,2,72,1,4,3280,13551,2,16,3,3,80,0,10,3,4,2,1,3
No,799,STAFF-799,Female,Manufacturing Director,Yes,1,5,Master's Degree,4,95,2,1,5485,22670,9,11,3,2,80,2,9,3,5,3,1,4
No,800,STAFF-800,Male,Sales Executive,No,4,4,High School,3,84,2,4,4342,24008,0,19,3,2,80,1,5,3,4,2,1,1
No,802,STAFF-802,Female,Research Scientist,Yes,1,5,High School,4,82,1,1,2782,19905,0,13,3,2,80,2,6,2,5,3,4,3
No,803,STAFF-803,Female,Manufacturing Director,Yes,1,15,Master's Degree,1,75,2,1,5980,26085,6,12,3,4,80,0,17,3,15,7,4,12
No,804,STAFF-804,Female,Research Scientist,No,1,6,Master's Degree,3,86,1,1,4381,7530,1,11,3,3,80,0,6,3,6,5,1,3
No,805,STAFF-805,Female,Sales Representative,No,4,3,Master's Degree,1,72,1,4,2572,20317,1,16,3,2,80,1,3,2,3,2,0,2
No,806,STAFF-806,Male,Laboratory Technician,No,3,2,Bachelor's Degree,4,38,1,3,3833,24375,3,21,4,3,80,2,7,3,2,2,0,2
No,807,STAFF-807,Female,Healthcare Representative,No,2,8,Associates Degree,3,38,2,2,4244,9931,1,24,4,4,80,1,8,3,8,7,3,7
No,808,STAFF-808,Female,Sales Executive,No,1,3,Associates Degree,3,93,2,1,6500,13305,5,17,3,2,80,1,6,3,3,2,1,2
No,809,STAFF-809,Male,Manager,No,4,24,Bachelor's Degree,2,66,5,4,18430,16225,1,13,3,2,80,1,24,2,24,7,14,9
Yes,811,STAFF-811,Male,Laboratory Technician,Yes,1,0,Bachelor's Degree,3,63,1,1,1601,3445,1,21,4,3,80,2,1,3,0,0,0,0
No,812,STAFF-812,Male,Laboratory Technician,No,2,1,Bachelor's Degree,3,60,1,2,2694,26551,1,11,3,3,80,3,1,3,1,0,0,0
No,813,STAFF-813,Female,Laboratory Technician,No,3,5,Master's Degree,4,82,2,3,3149,21821,8,20,4,2,80,1,9,3,5,2,1,4
No,815,STAFF-815,Male,Research Director,No,3,4,Bachelor's Degree,3,64,4,3,17639,6881,5,16,3,4,80,0,30,3,4,3,0,3
Yes,816,STAFF-816,Female,Laboratory Technician,Yes,1,1,Associates Degree,2,36,1,1,2319,6689,1,11,3,4,80,1,1,3,1,0,0,0
No,817,STAFF-817,Male,Research Director,No,3,13,Bachelor's Degree,3,49,3,3,11691,25995,0,11,3,4,80,0,14,4,13,9,3,7
Yes,819,STAFF-819,Female,Sales Executive,No,1,3,Bachelor's Degree,1,69,2,1,5324,26507,5,15,3,3,80,0,6,3,3,2,0,2
No,820,STAFF-820,Female,Manager,Yes,4,26,Associates Degree,3,33,4,4,16752,12982,1,11,3,3,80,1,26,2,26,14,3,0
No,823,STAFF-823,Female,Manufacturing Director,No,2,9,Bachelor's Degree,3,35,2,2,5228,23361,0,15,3,1,80,1,10,3,9,7,0,5
No,824,STAFF-824,Male,Research Scientist,No,3,10,Associates Degree,3,81,1,3,2700,23779,1,24,4,3,80,1,10,3,10,7,0,7
Yes,825,STAFF-825,Male,Research Director,Yes,2,31,Master's Degree,4,31,5,2,19246,25761,7,12,3,4,80,0,40,3,31,15,13,8
No,826,STAFF-826,Female,Research Scientist,No,3,2,Master's Degree,4,40,1,3,2506,13301,3,13,3,3,80,0,7,3,2,2,2,2
No,827,STAFF-827,Female,Manufacturing Director,Yes,4,4,Associates Degree,4,43,2,4,6062,4051,9,13,3,4,80,1,8,3,4,3,0,2
Yes,828,STAFF-828,Male,Research Scientist,No,3,2,Master's Degree,3,46,1,3,4382,16374,6,17,3,4,80,0,5,2,2,2,2,1
No,829,STAFF-829,Male,Human Resources,No,2,5,Bachelor's Degree,3,36,1,2,2143,25527,4,13,3,2,80,1,8,3,5,2,0,4
No,830,STAFF-830,Female,Manufacturing Director,No,3,14,Bachelor's Degree,3,98,2,3,6162,19124,1,12,3,3,80,1,14,3,14,13,6,8
No,832,STAFF-832,Male,Laboratory Technician,No,3,1,Master's Degree,1,51,2,3,5094,11983,6,14,3,4,80,0,10,3,1,0,0,0
No,833,STAFF-833,Female,Manufacturing Director,Yes,4,0,Bachelor's Degree,3,52,2,4,6877,20234,5,24,4,2,80,0,12,2,0,0,0,0
No,834,STAFF-834,Female,Research Scientist,No,3,1,Bachelor's Degree,2,95,1,3,2274,6153,1,14,3,4,80,0,1,3,1,0,0,0
No,836,STAFF-836,Male,Manufacturing Director,No,2,9,Bachelor's Degree,2,98,2,2,4434,11806,1,13,3,4,80,1,10,2,9,8,7,8
No,837,STAFF-837,Male,Healthcare Representative,No,1,4,Bachelor's Degree,1,45,2,1,6288,4284,2,15,3,3,80,1,13,2,4,3,1,2
No,838,STAFF-838,Female,Research Scientist,No,4,5,Master's Degree,3,100,1,4,2553,8306,1,16,3,3,80,0,6,3,5,2,1,3
Yes,840,STAFF-840,Female,Sales Executive,No,4,9,Bachelor's Degree,3,43,3,4,7654,5860,1,18,3,1,80,2,9,4,9,8,7,7
Yes,842,STAFF-842,Male,Sales Executive,No,4,9,High School,3,37,2,4,5160,21519,4,16,3,3,80,0,12,2,9,7,7,3
No,843,STAFF-843,Male,Research Director,No,1,4,Associates Degree,2,94,4,1,17159,5200,6,24,4,3,80,1,22,3,4,1,1,0
No,844,STAFF-844,Male,Research Director,Yes,4,9,High School,3,42,3,4,12808,8842,1,16,3,2,80,1,9,3,9,8,0,8
No,845,STAFF-845,Male,Manufacturing Director,No,3,8,Bachelor's Degree,3,59,3,3,10221,18869,3,21,4,2,80,0,17,4,8,5,1,6
No,846,STAFF-846,Female,Sales Executive,Yes,2,8,Master's Degree,2,81,2,2,4779,3698,1,20,4,1,80,0,8,3,8,7,7,5
No,847,STAFF-847,Male,Human Resources,No,4,3,Associates Degree,3,88,1,4,3737,2243,0,19,3,3,80,1,4,1,3,2,0,2
Yes,848,STAFF-848,Female,Research Scientist,Yes,3,8,Associates Degree,3,88,1,3,2366,20898,1,14,3,1,80,1,8,3,8,7,1,7
No,850,STAFF-850,Male,Research Scientist,No,4,0,Bachelor's Degree,4,50,1,4,1706,16571,1,11,3,3,80,3,0,2,0,0,0,0
No,851,STAFF-851,Female,Manager,No,3,20,Master's Degree,1,66,4,3,16307,5594,2,14,3,3,80,1,29,2,20,6,4,17
No,852,STAFF-852,Male,Healthcare Representative,No,2,5,Bachelor's Degree,4,50,2,2,5933,5197,9,12,3,4,80,0,10,2,5,2,2,3
No,854,STAFF-854,Male,Research Scientist,No,1,4,High School,1,65,1,1,3424,21632,7,13,3,3,80,0,6,2,4,3,0,1
No,855,STAFF-855,Male,Sales Executive,No,1,9,Bachelor's Degree,1,48,2,1,4037,21816,1,22,4,1,80,1,9,3,9,8,0,8
No,856,STAFF-856,Female,Research Scientist,No,1,6,High School,3,53,1,1,2559,17852,1,11,3,4,80,0,6,2,6,5,1,1
No,857,STAFF-857,Male,Sales Executive,Yes,4,18,Associates Degree,2,56,2,4,6201,2823,1,14,3,4,80,1,18,2,18,14,4,11
No,859,STAFF-859,Male,Sales Executive,No,4,5,Master's Degree,2,73,2,4,4403,9250,2,11,3,3,80,1,8,2,5,2,0,3
No,861,STAFF-861,Male,Research Scientist,No,4,5,Master's Degree,2,75,1,4,3761,2373,9,12,3,2,80,1,10,2,5,4,0,3
No,862,STAFF-862,Female,Sales Executive,Yes,4,5,Associates Degree,1,78,3,4,10934,20715,7,18,3,4,80,1,35,3,5,2,0,4
No,864,STAFF-864,Male,Sales Executive,Yes,1,5,Bachelor's Degree,4,74,3,1,10761,19239,4,12,3,3,80,1,18,3,5,4,0,2
No,865,STAFF-865,Female,Research Scientist,No,3,5,Associates Degree,3,91,2,3,5175,22162,5,12,3,3,80,1,9,2,5,3,1,3
No,867,STAFF-867,Female,Manufacturing Director,No,4,9,Master's Degree,3,81,4,4,13826,19028,3,22,4,3,80,0,31,3,9,8,0,0
No,868,STAFF-868,Male,Sales Executive,No,3,1,Master's Degree,4,66,2,3,6334,24558,4,19,3,4,80,2,9,3,1,0,0,0
No,869,STAFF-869,Male,Human Resources,No,4,5,Associates Degree,2,63,1,4,4936,23965,1,13,3,4,80,1,6,3,5,1,0,4
No,872,STAFF-872,Male,Manufacturing Director,No,4,2,Associates Degree,4,33,2,4,4775,19146,6,22,4,1,80,2,4,1,2,2,2,2
No,874,STAFF-874,Male,Laboratory Technician,Yes,4,3,Master's Degree,1,62,1,4,2818,5044,2,24,4,3,80,1,10,2,3,2,0,2
No,875,STAFF-875,Male,Research Scientist,Yes,4,2,High School,2,35,1,4,2515,9068,5,14,3,4,80,0,8,3,2,1,2,2
No,878,STAFF-878,Male,Human Resources,No,1,5,Bachelor's Degree,1,77,1,1,2342,8635,0,21,4,3,80,0,6,3,5,4,0,3
No,879,STAFF-879,Male,Sales Executive,Yes,1,5,High School,3,98,2,1,4194,14363,1,18,3,4,80,0,5,3,5,3,0,3
No,880,STAFF-880,Female,Manufacturing Director,Yes,3,17,Bachelor's Degree,4,66,3,3,10685,23457,1,20,4,2,80,1,17,3,17,14,5,15
Yes,881,STAFF-881,Female,Research Scientist,Yes,2,10,Master's Degree,4,96,1,2,2022,16612,1,19,3,1,80,1,10,2,10,2,7,8
No,882,STAFF-882,Male,Laboratory Technician,No,4,3,Bachelor's Degree,4,61,1,4,2314,9148,0,12,3,2,80,1,4,3,3,0,0,2
No,885,STAFF-885,Male,Sales Executive,No,1,5,High School,3,87,2,1,4256,18154,1,12,3,1,80,0,5,4,5,2,0,3
No,887,STAFF-887,Female,Research Scientist,No,1,4,Bachelor's Degree,3,36,1,1,3580,10554,2,16,3,2,80,1,7,3,4,2,0,2
No,888,STAFF-888,Male,Laboratory Technician,No,4,5,High School,1,46,1,4,3162,10778,0,17,3,4,80,0,6,2,5,2,3,4
No,889,STAFF-889,Male,Sales Executive,No,2,10,Associates Degree,2,48,2,2,6524,8891,1,14,3,4,80,1,10,3,10,8,5,3
No,893,STAFF-893,Male,Sales Representative,No,2,2,Bachelor's Degree,2,98,1,2,2899,12102,0,19,3,4,80,1,3,3,2,2,1,2
No,894,STAFF-894,Female,Laboratory Technician,Yes,4,5,Bachelor's Degree,3,95,2,4,5231,23726,2,13,3,2,80,1,17,2,5,3,1,3
No,895,STAFF-895,Male,Research Scientist,Yes,4,6,Master's Degree,4,48,1,4,2356,14871,3,19,3,2,80,1,8,3,6,4,0,2
Yes,896,STAFF-896,Female,Sales Representative,Yes,3,3,Bachelor's Degree,2,48,1,3,2800,23522,6,19,3,3,80,3,5,3,3,2,0,2
No,897,STAFF-897,Male,Sales Executive,No,4,2,Bachelor's Degree,1,73,4,4,11836,22789,5,14,3,3,80,1,28,3,2,0,2,2
No,899,STAFF-899,Male,Manufacturing Director,No,2,13,Bachelor's Degree,4,78,3,2,10903,9129,3,16,3,1,80,0,16,3,13,10,4,8
No,900,STAFF-900,Female,Sales Representative,No,4,5,Associates Degree,3,54,1,4,2973,21222,5,15,3,2,80,1,10,3,5,4,0,0
No,901,STAFF-901,Female,Research Director,No,4,12,Master's Degree,4,72,4,4,14275,20206,6,18,3,3,80,0,33,3,12,9,3,8
No,902,STAFF-902,Female,Healthcare Representative,No,4,5,Bachelor's Degree,4,33,2,4,5562,21782,4,13,3,2,80,1,12,2,5,2,2,2
No,903,STAFF-903,Female,Sales Executive,Yes,4,7,Associates Degree,3,35,2,4,4537,17783,0,22,4,1,80,1,8,3,7,6,7,7
No,904,STAFF-904,Male,Sales Executive,Yes,2,10,Associates Degree,1,32,3,2,7642,4814,1,13,3,4,80,0,10,3,10,0,0,9
No,905,STAFF-905,Male,Manager,No,1,31,Master's Degree,1,98,4,1,17924,4544,1,11,3,4,80,1,31,3,31,6,14,7
No,909,STAFF-909,Female,Human Resources,No,4,5,Bachelor's Degree,4,42,2,4,5204,7790,8,11,3,3,80,2,13,3,5,4,0,4
No,910,STAFF-910,Male,Human Resources,Yes,2,4,Associates Degree,4,57,1,2,2277,22650,3,11,3,3,80,1,7,4,4,3,0,3
Yes,911,STAFF-911,Male,Laboratory Technician,Yes,4,1,Master's Degree,1,87,1,4,2795,18016,1,24,4,3,80,0,1,1,1,0,0,1
No,912,STAFF-912,Female,Laboratory Technician,No,4,4,High School,1,62,1,4,2532,6054,6,14,3,3,80,3,8,3,4,3,0,3
No,913,STAFF-913,Male,Research Scientist,Yes,1,8,Associates Degree,2,61,1,1,2559,7508,1,13,3,4,80,0,8,3,8,7,7,1
No,916,STAFF-916,Male,Sales Executive,No,4,4,Master's Degree,1,98,2,4,4908,24252,1,14,3,2,80,0,4,3,4,2,0,2
Yes,918,STAFF-918,Male,Laboratory Technician,Yes,4,1,High School,4,57,1,4,2380,13384,9,14,3,4,80,1,3,2,1,0,0,0
No,920,STAFF-920,Female,Manufacturing Director,No,2,1,Bachelor's Degree,1,55,2,2,4765,23814,4,21,4,3,80,1,4,4,1,0,0,0
Yes,922,STAFF-922,Female,Sales Representative,No,3,2,Bachelor's Degree,3,49,1,3,2044,22052,1,13,3,4,80,0,2,2,2,2,0,2
Yes,923,STAFF-923,Female,Research Scientist,No,4,1,High School,4,65,1,4,2693,8870,1,19,3,1,80,0,1,2,1,0,0,0
No,924,STAFF-924,Male,Healthcare Representative,Yes,4,16,High School,3,68,2,4,6586,4821,0,17,3,1,80,1,17,2,16,8,4,11
No,925,STAFF-925,Female,Sales Representative,Yes,4,3,Master's Degree,4,65,1,4,3294,13137,1,18,3,1,80,0,3,2,3,2,1,2
Yes,926,STAFF-926,Female,Manufacturing Director,Yes,3,3,High School,2,34,2,3,4171,10022,0,19,3,1,80,1,4,4,3,2,0,2
Yes,927,STAFF-927,Female,Laboratory Technician,Yes,4,7,Master's Degree,2,57,1,4,2778,17725,4,13,3,3,80,1,10,2,7,7,1,0
No,930,STAFF-930,Female,Research Scientist,No,3,2,Bachelor's Degree,3,77,1,3,2377,9834,5,18,3,2,80,1,6,3,2,2,2,2
Yes,932,STAFF-932,Male,Laboratory Technician,Yes,1,2,Bachelor's Degree,4,70,1,1,2404,4303,7,21,4,4,80,0,8,1,2,2,2,2
No,933,STAFF-933,Female,Research Scientist,No,3,1,Bachelor's Degree,2,76,1,3,2318,17808,1,19,3,3,80,0,1,3,1,1,0,0
No,934,STAFF-934,Male,Laboratory Technician,No,2,1,Bachelor's Degree,2,83,1,2,2008,6896,1,14,3,2,80,2,1,3,1,0,1,0
No,936,STAFF-936,Female,Sales Executive,No,3,5,Associates Degree,3,68,2,3,6244,7824,7,17,3,1,80,0,10,3,5,4,0,3
No,939,STAFF-939,Male,Research Scientist,Yes,1,3,Master's Degree,3,100,1,1,2799,3339,3,11,3,2,80,0,6,3,3,2,0,2
No,940,STAFF-940,Female,Healthcare Representative,Yes,2,6,Bachelor's Degree,3,37,3,2,10552,9255,2,13,3,4,80,1,24,3,6,0,0,4
No,941,STAFF-941,Male,Sales Representative,No,3,7,Master's Degree,2,41,1,3,2329,11737,3,15,3,2,80,0,13,4,7,7,5,2
No,942,STAFF-942,Female,Healthcare Representative,Yes,4,10,High School,4,51,2,4,4014,19170,1,25,4,4,80,1,10,1,10,6,0,7
No,944,STAFF-944,Female,Laboratory Technician,No,2,26,Associates Degree,1,51,3,2,7403,22477,4,11,3,3,80,1,29,2,26,9,1,7
No,945,STAFF-945,Male,Research Scientist,No,3,0,Master's Degree,4,51,1,3,2259,5543,4,17,3,1,80,2,13,2,0,0,0,0
No,947,STAFF-947,Female,Sales Executive,No,3,9,Associates Degree,4,45,2,3,6932,24406,1,13,3,4,80,1,9,2,9,8,0,0
No,949,STAFF-949,Male,Research Scientist,No,4,6,Master's Degree,2,65,1,4,4678,23293,2,18,3,3,80,0,8,3,6,2,0,1
No,950,STAFF-950,Female,Research Director,No,1,15,Bachelor's Degree,4,80,3,1,13582,16292,1,13,3,2,80,1,15,3,15,12,5,11
No,951,STAFF-951,Female,Laboratory Technician,No,2,3,Bachelor's Degree,3,70,1,2,2332,3974,6,20,4,3,80,0,5,3,3,0,0,2
Yes,952,STAFF-952,Male,Sales Representative,Yes,2,1,Associates Degree,3,36,1,2,2413,18798,1,18,3,3,80,3,1,3,1,0,0,0
No,954,STAFF-954,Male,Sales Executive,No,2,1,Master's Degree,1,67,3,2,9705,20652,2,12,3,2,80,1,11,2,1,0,0,0
No,956,STAFF-956,Male,Sales Executive,No,1,7,Bachelor's Degree,3,52,2,1,4294,11148,1,12,3,2,80,0,7,3,7,7,0,7
No,957,STAFF-957,Male,Laboratory Technician,Yes,1,18,Bachelor's Degree,4,59,1,1,4721,3119,2,13,3,3,80,0,20,3,18,13,2,17
No,958,STAFF-958,Male,Laboratory Technician,No,3,11,Master's Degree,3,79,1,3,2519,12287,4,21,4,3,80,0,16,3,11,8,3,9
Yes,959,STAFF-959,Male,Sales Representative,Yes,2,1,Bachelor's Degree,4,37,1,2,2121,9947,1,13,3,2,80,0,1,4,1,0,0,0
Yes,960,STAFF-960,Male,Laboratory Technician,No,1,1,Bachelor's Degree,1,84,1,1,2973,13008,1,19,3,2,80,0,1,3,1,0,0,0
No,961,STAFF-961,Female,Healthcare Representative,Yes,4,9,Bachelor's Degree,4,41,2,4,5855,17369,0,11,3,3,80,2,10,1,9,7,8,5
No,964,STAFF-964,Male,Research Scientist,Yes,2,1,Master's Degree,4,35,1,2,3617,25063,8,14,3,4,80,1,3,3,1,1,0,0
No,966,STAFF-966,Female,Manufacturing Director,No,1,8,Master's Degree,3,93,2,1,6725,13554,1,12,3,3,80,1,8,4,8,7,6,3
Yes,967,STAFF-967,Male,Sales Executive,Yes,4,16,High School,3,51,3,4,10325,5518,1,11,3,1,80,1,16,3,16,7,3,7
No,969,STAFF-969,Female,Healthcare Representative,No,4,5,Bachelor's Degree,2,42,2,4,6949,12291,0,14,3,1,80,0,6,3,5,0,1,4
Yes,970,STAFF-970,Male,Sales Executive,No,3,14,Master's Degree,1,46,3,3,10609,14922,5,11,3,3,80,0,17,1,14,1,11,7
No,972,STAFF-972,Male,Laboratory Technician,No,2,9,Associates Degree,3,57,2,2,4447,23163,1,12,3,2,80,0,9,2,9,7,0,8
No,974,STAFF-974,Female,Sales Representative,No,4,3,Bachelor's Degree,3,84,1,4,2157,18203,1,15,3,2,80,1,3,3,3,1,0,2
No,975,STAFF-975,Female,Sales Executive,No,3,5,Bachelor's Degree,3,86,2,3,4601,6179,1,16,3,2,80,0,5,3,5,2,1,0
No,976,STAFF-976,Male,Manager,No,4,9,Associates Degree,4,70,4,4,17099,13829,2,15,3,2,80,1,26,2,9,8,7,8
Yes,977,STAFF-977,Male,Research Scientist,No,3,1,Bachelor's Degree,4,51,1,3,2479,26227,4,24,4,1,80,0,7,3,1,0,0,0
No,981,STAFF-981,Male,Manager,No,3,17,Associates Degree,3,45,4,3,14852,13938,6,13,3,3,80,1,22,4,17,13,15,2
No,982,STAFF-982,Male,Sales Executive,No,3,8,Associates Degree,3,62,3,3,7264,9977,5,11,3,1,80,1,10,4,8,4,7,7
No,983,STAFF-983,Female,Sales Executive,Yes,4,5,Bachelor's Degree,3,85,2,4,5666,19899,1,13,3,2,80,0,6,3,5,3,1,3
No,984,STAFF-984,Male,Sales Executive,No,4,10,Master's Degree,4,92,3,4,7823,6812,6,13,3,2,80,1,12,3,10,9,0,8
No,985,STAFF-985,Male,Sales Executive,No,3,8,Doctoral Degree,1,41,3,3,7880,2560,0,18,3,4,80,0,9,3,8,7,0,7
Yes,986,STAFF-986,Female,Sales Executive,Yes,2,1,Bachelor's Degree,2,100,4,2,13194,17071,4,16,3,4,80,0,22,2,1,0,0,0
No,987,STAFF-987,Male,Manufacturing Director,Yes,3,19,Master's Degree,3,64,2,3,5067,6759,1,19,3,3,80,0,20,4,19,10,2,7
No,990,STAFF-990,Male,Sales Executive,No,4,7,Master's Degree,1,84,2,4,5079,25952,4,13,3,4,80,2,12,3,7,7,0,7
Yes,991,STAFF-991,Male,Research Scientist,Yes,1,3,Associates Degree,3,46,1,1,2321,10322,0,22,4,1,80,0,4,3,3,2,1,2
No,992,STAFF-992,Male,Manager,No,3,10,Bachelor's Degree,4,38,4,3,17444,20489,1,11,3,4,80,0,10,3,10,8,6,0
Yes,994,STAFF-994,Female,Research Scientist,Yes,1,0,Bachelor's Degree,4,92,1,1,2404,11479,6,20,4,3,80,0,3,3,0,0,0,0
No,995,STAFF-995,Female,Research Scientist,No,4,3,High School,2,53,1,4,3452,17241,3,18,3,1,80,0,5,3,3,2,0,2
No,996,STAFF-996,Female,Laboratory Technician,No,4,5,Master's Degree,4,91,1,4,2270,11005,3,14,3,4,80,2,8,3,5,3,0,2
No,997,STAFF-997,Male,Research Director,No,4,5,Associates Degree,4,66,4,4,17399,6615,9,22,4,3,80,1,32,2,5,4,1,3
No,998,STAFF-998,Female,Healthcare Representative,Yes,2,6,Master's Degree,3,84,2,2,5488,20161,1,13,3,1,80,1,6,3,6,5,1,2
No,999,STAFF-999,Male,Research Director,No,3,18,Bachelor's Degree,1,64,5,3,19419,3735,2,17,3,2,80,1,21,4,18,16,0,11
No,1001,STAFF-1001,Female,Laboratory Technician,No,2,2,Master's Degree,3,37,1,2,2811,12086,9,14,3,2,80,1,4,3,2,2,2,2
No,1002,STAFF-1002,Male,Laboratory Technician,Yes,1,9,Associates Degree,4,42,2,1,3633,14039,1,15,3,3,80,1,9,3,9,8,0,8
No,1003,STAFF-1003,Female,Sales Executive,Yes,4,9,Associates Degree,4,83,2,4,4163,8571,1,17,3,3,80,0,9,3,9,0,0,7
Yes,1004,STAFF-1004,Female,Research Scientist,Yes,3,5,Bachelor's Degree,1,48,1,3,2132,11539,4,11,3,2,80,0,7,3,5,2,0,1
No,1005,STAFF-1005,Male,Manufacturing Director,Yes,3,12,Bachelor's Degree,4,95,4,3,13973,4161,3,18,3,4,80,1,22,3,12,11,1,5
No,1006,STAFF-1006,Male,Research Scientist,No,3,2,High School,3,66,1,3,2684,12127,0,17,3,2,80,1,3,2,2,1,0,2
No,1007,STAFF-1007,Male,Manufacturing Director,No,3,8,Associates Degree,4,75,3,3,10845,24208,6,13,3,2,80,1,13,3,8,7,0,7
No,1009,STAFF-1009,Female,Manufacturing Director,No,3,4,High School,4,41,2,3,4377,24117,1,15,3,2,80,2,5,3,4,2,3,2
Yes,1010,STAFF-1010,Male,Laboratory Technician,Yes,2,4,Master's Degree,3,39,1,2,3743,10074,1,24,4,4,80,1,5,1,4,2,0,2
No,1011,STAFF-1011,Female,Manufacturing Director,No,1,4,High School,3,96,2,1,4148,11275,1,12,3,3,80,1,4,3,4,3,0,3
No,1012,STAFF-1012,Male,Research Scientist,No,4,0,Associates Degree,2,73,1,4,1051,13493,1,15,3,4,80,0,0,3,0,0,0,0
No,1013,STAFF-1013,Female,Manufacturing Director,No,3,10,Bachelor's Degree,3,56,3,3,10739,13943,8,11,3,3,80,1,22,3,10,7,0,8
No,1014,STAFF-1014,Female,Healthcare Representative,Yes,3,16,Master's Degree,3,57,3,3,10388,6975,1,11,3,3,80,1,16,2,16,10,10,1
No,1015,STAFF-1015,Female,Research Director,Yes,1,8,Associates Degree,2,73,3,1,11416,17802,0,12,3,3,80,3,9,2,8,7,1,7
Yes,1016,STAFF-1016,Female,Research Scientist,Yes,1,1,Bachelor's Degree,4,98,1,1,2600,18275,1,15,3,1,80,0,1,3,1,0,0,0
Yes,1017,STAFF-1017,Female,Laboratory Technician,No,2,3,Bachelor's Degree,2,60,1,2,2422,25725,0,17,3,1,80,0,4,3,3,2,1,2
No,1018,STAFF-1018,Male,Manufacturing Director,No,4,8,Associates Degree,4,32,2,4,5472,3334,1,12,3,2,80,0,8,3,8,7,1,3
No,1019,STAFF-1019,Male,Laboratory Technician,No,1,4,High School,2,94,1,1,2451,6881,1,15,3,1,80,1,4,2,4,3,1,1
No,1022,STAFF-1022,Male,Healthcare Representative,No,3,2,Bachelor's Degree,1,97,2,3,4240,13119,2,13,3,4,80,0,19,3,2,2,2,2
No,1024,STAFF-1024,Male,Healthcare Representative,No,3,15,Master's Degree,3,78,3,3,10999,22245,7,14,3,2,80,0,27,3,15,11,4,8
No,1025,STAFF-1025,Female,Manufacturing Director,No,3,2,Associates Degree,4,42,2,3,5003,23371,6,14,3,2,80,0,8,3,2,2,2,1
No,1026,STAFF-1026,Female,Manufacturing Director,No,4,21,High School,4,65,4,4,12742,7060,1,16,3,3,80,1,21,3,21,6,11,8
No,1027,STAFF-1027,Female,Manufacturing Director,No,4,3,Master's Degree,1,47,2,4,4227,4658,0,18,3,2,80,1,4,3,3,2,2,2
